City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
274,Estelle,US,29.8458,-90.1067,78.8,84,0,3.44,clear sky
275,Karratha,AU,-20.7377,116.8463,80.85,29,4,13.53,clear sky
276,Nizhnekamsk,RU,55.6366,51.8245,73.65,56,0,4.47,clear sky
277,Lebedinyy,RU,58.5167,125.5167,79.75,45,92,15.7,overcast clouds
278,Eufaula,US,31.8913,-85.1455,76.86,92,0,0.0,clear sky
279,Jinchang,CN,38.4953,102.1739,84.79,36,78,12.37,broken clouds
280,Wuhu,CN,31.3366,118.3755,90.09,63,16,5.46,few clouds
281,Mount Isa,AU,-20.7333,139.5,82.17,17,96,8.05,overcast clouds
282,Kungurtug,RU,50.5994,97.5228,77.45,29,45,3.58,scattered clouds
283,Qom,IR,34.6401,50.8764,87.01,27,3,11.95,clear sky
284,Ankazobe,MG,-18.3167,47.1167,56.34,72,51,5.39,broken clouds
285,Noyabrsk,RU,63.1994,75.4507,60.82,50,9,21.16,clear sky
286,Kutum,SD,14.2,24.6667,69.15,80,77,11.01,moderate rain
287,Edd,ER,13.9297,41.6925,91.65,45,100,8.21,overcast clouds
288,Atchison,US,39.563,-95.1216,72.5,87,39,7.36,scattered clouds
289,Almoloya,MX,19.7,-98.4,49.5,90,74,4.5,broken clouds
290,Cabedelo,BR,-6.9811,-34.8339,74.07,87,100,7.16,overcast clouds
291,Buraydah,SA,26.326,43.975,93.38,38,99,7.11,overcast clouds
292,Markova,UA,48.6758,24.4138,63.3,94,100,2.59,overcast clouds
293,Auki,SB,-8.7676,160.7034,86.13,62,26,4.7,scattered clouds
294,Bereznehuvate,UA,47.3078,32.8499,75.61,42,7,12.97,clear sky
295,Vanavara,RU,60.34,102.2797,72.79,64,51,4.5,light rain
296,Erzin,TR,36.9559,36.2,79.97,66,2,2.57,clear sky
297,Richards Bay,ZA,-28.783,32.0377,63.1,85,53,4.88,broken clouds
298,Suchitoto,SV,13.9381,-89.0278,73.74,96,100,1.77,overcast clouds
299,Aban,RU,56.67,96.06,76.39,60,92,11.45,overcast clouds
300,Bahia Blanca,AR,-38.7196,-62.2724,48.83,74,100,3.47,overcast clouds
301,Agadez,NE,19.75,10.25,83.16,16,31,7.56,scattered clouds
302,Ponta Delgada,PT,37.7333,-25.6667,68.72,88,20,6.91,few clouds
303,Port-Cartier,CA,50.0334,-66.8654,63.75,82,80,6.73,broken clouds
304,Vostok,RU,46.4856,135.8833,77.97,69,100,5.99,overcast clouds
305,Mlowo,TZ,-9.0,32.9833,61.59,64,96,1.3,overcast clouds
306,San Andres,CO,12.5847,-81.7006,82.42,78,75,14.97,broken clouds
307,Kurumkan,RU,54.3,110.3,62.82,90,100,5.37,overcast clouds
308,Matara,LK,5.9485,80.5353,84.22,70,89,11.79,overcast clouds
309,Peterhead,GB,57.5058,-1.7981,55.8,83,100,11.61,overcast clouds
310,Ritchie,ZA,-29.038,24.6028,41.04,65,44,3.89,scattered clouds
311,Leo,BF,11.1,-2.1,73.67,86,67,5.61,broken clouds
312,Digby,CA,44.6169,-65.7655,59.72,85,0,8.81,clear sky
313,Mackay,AU,-21.15,149.2,71.69,75,100,14.79,overcast clouds
314,Viedma,AR,-40.8135,-62.9967,43.32,70,96,4.68,overcast clouds
